,datetime,delivery_date,period,period_minutes,price_portugal,price_spain,price_omie,source_file,omie_revision
0,2026-04-01 00:00:00,2026-04-01,1,15,9.17,9.17,9.17,marginalpdbc_20260401.1,1
1,2026-04-01 00:15:00,2026-04-01,2,15,7.49,7.49,7.49,marginalpdbc_20260401.1,1
2,2026-04-01 00:30:00,2026-04-01,3,15,7.06,7.06,7.06,marginalpdbc_20260401.1,1
3,2026-04-01 00:45:00,2026-04-01,4,15,5.59,5.59,5.59,marginalpdbc_20260401.1,1
4,2026-04-01 01:00:00,2026-04-01,5,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
5,2026-04-01 01:15:00,2026-04-01,6,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
6,2026-04-01 01:30:00,2026-04-01,7,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
7,2026-04-01 01:45:00,2026-04-01,8,15,4.57,4.57,4.57,marginalpdbc_20260401.1,1
8,2026-04-01 02:00:00,2026-04-01,9,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
9,2026-04-01 02:15:00,2026-04-01,10,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
10,2026-04-01 02:30:00,2026-04-01,11,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
11,2026-04-01 02:45:00,2026-04-01,12,15,5.0,5.0,5.0,marginalpdbc_20260401.1,1
12,2026-04-01 03:00:00,2026-04-01,13,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
13,2026-04-01 03:15:00,2026-04-01,14,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
14,2026-04-01 03:30:00,2026-04-01,15,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
15,2026-04-01 03:45:00,2026-04-01,16,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
16,2026-04-01 04:00:00,2026-04-01,17,15,4.96,4.96,4.96,marginalpdbc_20260401.1,1
17,2026-04-01 04:15:00,2026-04-01,18,15,4.5,4.5,4.5,marginalpdbc_20260401.1,1
18,2026-04-01 04:30:00,2026-04-01,19,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
19,2026-04-01 04:45:00,2026-04-01,20,15,4.87,4.87,4.87,marginalpdbc_20260401.1,1
20,2026-04-01 05:00:00,2026-04-01,21,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
21,2026-04-01 05:15:00,2026-04-01,22,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
22,2026-04-01 05:30:00,2026-04-01,23,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
23,2026-04-01 05:45:00,2026-04-01,24,15,5.59,5.59,5.59,marginalpdbc_20260401.1,1
24,2026-04-01 06:00:00,2026-04-01,25,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
25,2026-04-01 06:15:00,2026-04-01,26,15,6.08,6.08,6.08,marginalpdbc_20260401.1,1
26,2026-04-01 06:30:00,2026-04-01,27,15,7.39,7.39,7.39,marginalpdbc_20260401.1,1
27,2026-04-01 06:45:00,2026-04-01,28,15,9.34,9.34,9.34,marginalpdbc_20260401.1,1
28,2026-04-01 07:00:00,2026-04-01,29,15,10.54,10.54,10.54,marginalpdbc_20260401.1,1
29,2026-04-01 07:15:00,2026-04-01,30,15,13.24,13.24,13.24,marginalpdbc_20260401.1,1
30,2026-04-01 07:30:00,2026-04-01,31,15,14.0,14.0,14.0,marginalpdbc_20260401.1,1
31,2026-04-01 07:45:00,2026-04-01,32,15,14.47,14.47,14.47,marginalpdbc_20260401.1,1
32,2026-04-01 08:00:00,2026-04-01,33,15,10.08,10.08,10.08,marginalpdbc_20260401.1,1
33,2026-04-01 08:15:00,2026-04-01,34,15,9.34,9.34,9.34,marginalpdbc_20260401.1,1
34,2026-04-01 08:30:00,2026-04-01,35,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
35,2026-04-01 08:45:00,2026-04-01,36,15,2.42,2.42,2.42,marginalpdbc_20260401.1,1
36,2026-04-01 09:00:00,2026-04-01,37,15,5.41,5.41,5.41,marginalpdbc_20260401.1,1
37,2026-04-01 09:15:00,2026-04-01,38,15,1.03,1.03,1.03,marginalpdbc_20260401.1,1
38,2026-04-01 09:30:00,2026-04-01,39,15,0.0,0.0,0.0,marginalpdbc_20260401.1,1
39,2026-04-01 09:45:00,2026-04-01,40,15,-0.01,-0.01,-0.01,marginalpdbc_20260401.1,1
40,2026-04-01 10:00:00,2026-04-01,41,15,-0.31,-0.31,-0.31,marginalpdbc_20260401.1,1
41,2026-04-01 10:15:00,2026-04-01,42,15,-0.6,-0.6,-0.6,marginalpdbc_20260401.1,1
42,2026-04-01 10:30:00,2026-04-01,43,15,-0.81,-0.81,-0.81,marginalpdbc_20260401.1,1
43,2026-04-01 10:45:00,2026-04-01,44,15,-1.0,-1.0,-1.0,marginalpdbc_20260401.1,1
44,2026-04-01 11:00:00,2026-04-01,45,15,-1.81,-1.81,-1.81,marginalpdbc_20260401.1,1
45,2026-04-01 11:15:00,2026-04-01,46,15,-2.01,-2.01,-2.01,marginalpdbc_20260401.1,1
46,2026-04-01 11:30:00,2026-04-01,47,15,-2.1,-2.1,-2.1,marginalpdbc_20260401.1,1
47,2026-04-01 11:45:00,2026-04-01,48,15,-2.1,-2.1,-2.1,marginalpdbc_20260401.1,1
48,2026-04-01 12:00:00,2026-04-01,49,15,-2.1,-2.1,-2.1,marginalpdbc_20260401.1,1
49,2026-04-01 12:15:00,2026-04-01,50,15,-2.1,-2.1,-2.1,marginalpdbc_20260401.1,1
50,2026-04-01 12:30:00,2026-04-01,51,15,-2.1,-2.1,-2.1,marginalpdbc_20260401.1,1
51,2026-04-01 12:45:00,2026-04-01,52,15,-2.1,-2.1,-2.1,marginalpdbc_20260401.1,1
52,2026-04-01 13:00:00,2026-04-01,53,15,-1.68,-2.1,-2.1,marginalpdbc_20260401.1,1
53,2026-04-01 13:15:00,2026-04-01,54,15,-1.68,-2.1,-2.1,marginalpdbc_20260401.1,1
54,2026-04-01 13:30:00,2026-04-01,55,15,-1.68,-2.76,-2.76,marginalpdbc_20260401.1,1
55,2026-04-01 13:45:00,2026-04-01,56,15,-1.68,-3.01,-3.01,marginalpdbc_20260401.1,1
56,2026-04-01 14:00:00,2026-04-01,57,15,-1.51,-4.0,-4.0,marginalpdbc_20260401.1,1
57,2026-04-01 14:15:00,2026-04-01,58,15,-1.51,-3.5,-3.5,marginalpdbc_20260401.1,1
58,2026-04-01 14:30:00,2026-04-01,59,15,-1.51,-4.0,-4.0,marginalpdbc_20260401.1,1
59,2026-04-01 14:45:00,2026-04-01,60,15,-1.51,-4.0,-4.0,marginalpdbc_20260401.1,1
60,2026-04-01 15:00:00,2026-04-01,61,15,-1.51,-4.0,-4.0,marginalpdbc_20260401.1,1
61,2026-04-01 15:15:00,2026-04-01,62,15,-1.51,-4.0,-4.0,marginalpdbc_20260401.1,1
62,2026-04-01 15:30:00,2026-04-01,63,15,-1.51,-4.0,-4.0,marginalpdbc_20260401.1,1
63,2026-04-01 15:45:00,2026-04-01,64,15,-1.51,-4.0,-4.0,marginalpdbc_20260401.1,1
64,2026-04-01 16:00:00,2026-04-01,65,15,-1.51,-4.0,-4.0,marginalpdbc_20260401.1,1
65,2026-04-01 16:15:00,2026-04-01,66,15,-1.49,-4.0,-4.0,marginalpdbc_20260401.1,1
66,2026-04-01 16:30:00,2026-04-01,67,15,-1.49,-4.0,-4.0,marginalpdbc_20260401.1,1
67,2026-04-01 16:45:00,2026-04-01,68,15,-1.49,-4.0,-4.0,marginalpdbc_20260401.1,1
68,2026-04-01 17:00:00,2026-04-01,69,15,-1.51,-3.0,-3.0,marginalpdbc_20260401.1,1
69,2026-04-01 17:15:00,2026-04-01,70,15,-1.49,-2.1,-2.1,marginalpdbc_20260401.1,1
70,2026-04-01 17:30:00,2026-04-01,71,15,-1.49,-2.1,-2.1,marginalpdbc_20260401.1,1
71,2026-04-01 17:45:00,2026-04-01,72,15,-1.0,-2.1,-2.1,marginalpdbc_20260401.1,1
72,2026-04-01 18:00:00,2026-04-01,73,15,-0.82,-0.82,-0.82,marginalpdbc_20260401.1,1
73,2026-04-01 18:15:00,2026-04-01,74,15,-0.81,-0.81,-0.81,marginalpdbc_20260401.1,1
74,2026-04-01 18:30:00,2026-04-01,75,15,-0.35,-0.35,-0.35,marginalpdbc_20260401.1,1
75,2026-04-01 18:45:00,2026-04-01,76,15,-0.01,-0.01,-0.01,marginalpdbc_20260401.1,1
76,2026-04-01 19:00:00,2026-04-01,77,15,0.0,0.0,0.0,marginalpdbc_20260401.1,1
77,2026-04-01 19:15:00,2026-04-01,78,15,0.17,0.17,0.17,marginalpdbc_20260401.1,1
78,2026-04-01 19:30:00,2026-04-01,79,15,3.08,3.08,3.08,marginalpdbc_20260401.1,1
79,2026-04-01 19:45:00,2026-04-01,80,15,9.1,9.1,9.1,marginalpdbc_20260401.1,1
